,total_observations,runtime
0,500.0,1.0662651062011719
1,600.0,1.5210182666778564
2,700.0,2.2179577350616455
3,800.0,3.0974230766296387
4,900.0,4.222026109695435
5,1000.0,5.857946395874023
6,1100.0,6.910599708557129
7,1200.0,8.75754690170288
8,1300.0,10.332422494888306
9,1400.0,12.384146690368652
10,1500.0,15.004482984542847
11,1600.0,17.892726182937622
12,1700.0,20.619553089141846
13,1800.0,24.470528841018677
14,1900.0,28.19040584564209
15,2000.0,32.35344624519348
16,2100.0,40.88188982009888
17,2200.0,46.1062970161438
18,2300.0,53.3139865398407
19,2400.0,90.00292730331421
20,2500.0,85.27275943756104
21,2600.0,70.75558376312256
22,2700.0,77.61362957954407
23,2800.0,102.82966828346252
24,2900.0,126.52798104286194
25,3000.0,117.53534269332886
26,3100.0,126.68663334846497
27,3200.0,127.86012601852417
28,3300.0,122.94886136054993
29,3400.0,141.91894602775574
30,3500.0,160.96892881393433
31,3600.0,213.118549823761
32,3700.0,175.43226599693298
33,3800.0,204.4222104549408
34,3900.0,213.92889165878296
35,4000.0,225.99901580810547
36,4100.0,269.93618631362915
37,4200.0,290.1111500263214
38,4300.0,319.6847803592682
39,4400.0,300.72638964653015
40,4500.0,296.60157585144043
41,4600.0,313.54346776008606
42,4700.0,344.4229266643524
43,4800.0,405.71917629241943
44,4900.0,368.97449469566345
