,total_observations,kappa_star,size,mean_comp,KM1,KM2,KM1_error,KM2_error
0,500.0,0.5,51.0,10.0,0.49256689791873143,0.4995112414467253,0.007433102081268572,0.0004887585532746819
1,500.0,0.5,13.0,10.0,0.4780835881753313,0.4995112414467253,0.02191641182466869,0.0004887585532746819
2,500.0,0.5,20.0,10.0,0.49256689791873143,0.4995112414467253,0.007433102081268572,0.0004887585532746819
3,500.0,0.5,9.0,10.0,0.4547390841320554,0.4995112414467253,0.04526091586794462,0.0004887585532746819
4,500.0,0.5,33.0,10.0,0.4995112414467253,0.4995112414467253,0.0004887585532746819,0.0004887585532746819
5,500.0,0.5,42.0,10.0,0.4995112414467253,0.4995112414467253,0.0004887585532746819,0.0004887585532746819
6,500.0,0.5,20.0,10.0,0.4705274043433299,0.4995112414467253,0.029472595656670098,0.0004887585532746819
7,500.0,0.5,46.0,10.0,0.4995112414467253,0.4995112414467253,0.0004887585532746819,0.0004887585532746819
8,500.0,0.5,36.0,10.0,0.4995112414467253,0.4995112414467253,0.0004887585532746819,0.0004887585532746819
9,500.0,0.5,96.0,10.0,0.4995112414467253,0.4995112414467253,0.0004887585532746819,0.0004887585532746819
10,500.0,0.5,31.0,10.0,0.49256689791873143,0.4995112414467253,0.007433102081268572,0.0004887585532746819
11,500.0,0.5,36.0,10.0,0.4995112414467253,0.4995112414467253,0.0004887585532746819,0.0004887585532746819
12,500.0,0.5,31.0,10.0,0.49256689791873143,0.4995112414467253,0.007433102081268572,0.0004887585532746819
13,500.0,0.5,54.0,10.0,0.4995112414467253,0.4995112414467253,0.0004887585532746819,0.0004887585532746819
14,500.0,0.5,72.0,10.0,0.4995112414467253,0.4995112414467253,0.0004887585532746819,0.0004887585532746819
15,500.0,0.5,27.0,10.0,0.49256689791873143,0.4995112414467253,0.007433102081268572,0.0004887585532746819
16,500.0,0.5,97.0,10.0,0.4995112414467253,0.4995112414467253,0.0004887585532746819,0.0004887585532746819
17,500.0,0.5,48.0,10.0,0.49256689791873143,0.4995112414467253,0.007433102081268572,0.0004887585532746819
18,500.0,0.5,73.0,10.0,0.4995112414467253,0.4995112414467253,0.0004887585532746819,0.0004887585532746819
19,500.0,0.5,21.0,10.0,0.4995112414467253,0.4995112414467253,0.0004887585532746819,0.0004887585532746819
20,500.0,0.5,27.0,10.0,0.4780835881753313,0.4995112414467253,0.02191641182466869,0.0004887585532746819
21,500.0,0.5,26.0,10.0,0.48542713567839196,0.4995112414467253,0.014572864321608037,0.0004887585532746819
22,500.0,0.5,73.0,10.0,0.4995112414467253,0.4995112414467253,0.0004887585532746819,0.0004887585532746819
23,500.0,0.5,83.0,10.0,0.4995112414467253,0.4995112414467253,0.0004887585532746819,0.0004887585532746819
24,500.0,0.5,92.0,10.0,0.4995112414467253,0.4995112414467253,0.0004887585532746819,0.0004887585532746819
25,500.0,0.5,33.0,10.0,0.4995112414467253,0.4995112414467253,0.0004887585532746819,0.0004887585532746819
26,500.0,0.5,43.0,10.0,0.4995112414467253,0.4995112414467253,0.0004887585532746819,0.0004887585532746819
27,500.0,0.5,46.0,10.0,0.4995112414467253,0.4995112414467253,0.0004887585532746819,0.0004887585532746819
28,500.0,0.5,98.0,10.0,0.4995112414467253,0.4995112414467253,0.0004887585532746819,0.0004887585532746819
29,500.0,0.5,36.0,10.0,0.49256689791873143,0.4995112414467253,0.007433102081268572,0.0004887585532746819
30,500.0,0.5,56.0,10.0,0.4995112414467253,0.4995112414467253,0.0004887585532746819,0.0004887585532746819
31,500.0,0.5,95.0,10.0,0.4995112414467253,0.4995112414467253,0.0004887585532746819,0.0004887585532746819
32,500.0,0.5,4.0,10.0,0.4547390841320554,0.49256689791873143,0.04526091586794462,0.007433102081268572
33,500.0,0.5,92.0,10.0,0.4995112414467253,0.4995112414467253,0.0004887585532746819,0.0004887585532746819
34,500.0,0.5,21.0,10.0,0.43798024149286496,0.4995112414467253,0.06201975850713504,0.0004887585532746819
35,500.0,0.5,57.0,10.0,0.4995112414467253,0.4995112414467253,0.0004887585532746819,0.0004887585532746819
36,500.0,0.5,27.0,10.0,0.4995112414467253,0.4995112414467253,0.0004887585532746819,0.0004887585532746819
37,500.0,0.5,17.0,10.0,0.4780835881753313,0.4995112414467253,0.02191641182466869,0.0004887585532746819
38,500.0,0.5,99.0,10.0,0.4995112414467253,0.4995112414467253,0.0004887585532746819,0.0004887585532746819
39,500.0,0.5,51.0,10.0,0.4995112414467253,0.4995112414467253,0.0004887585532746819,0.0004887585532746819
40,500.0,0.5,22.0,10.0,0.49256689791873143,0.4995112414467253,0.007433102081268572,0.0004887585532746819
41,500.0,0.5,95.0,10.0,0.4995112414467253,0.4995112414467253,0.0004887585532746819,0.0004887585532746819
42,500.0,0.5,25.0,10.0,0.49256689791873143,0.4995112414467253,0.007433102081268572,0.0004887585532746819
43,500.0,0.5,66.0,10.0,0.4995112414467253,0.4995112414467253,0.0004887585532746819,0.0004887585532746819
44,500.0,0.5,96.0,10.0,0.4995112414467253,0.4995112414467253,0.0004887585532746819,0.0004887585532746819
45,500.0,0.5,59.0,10.0,0.4995112414467253,0.4995112414467253,0.0004887585532746819,0.0004887585532746819
46,500.0,0.5,44.0,10.0,0.49256689791873143,0.4995112414467253,0.007433102081268572,0.0004887585532746819
47,500.0,0.5,97.0,10.0,0.4995112414467253,0.4995112414467253,0.0004887585532746819,0.0004887585532746819
48,500.0,0.5,95.0,10.0,0.4995112414467253,0.4995112414467253,0.0004887585532746819,0.0004887585532746819
49,500.0,0.5,44.0,10.0,0.4995112414467253,0.4995112414467253,0.0004887585532746819,0.0004887585532746819
50,500.0,0.5,97.0,10.0,0.4995112414467253,0.4995112414467253,0.0004887585532746819,0.0004887585532746819
51,500.0,0.5,53.0,10.0,0.4995112414467253,0.4995112414467253,0.0004887585532746819,0.0004887585532746819
52,500.0,0.5,4.0,10.0,0.4627492130115425,0.48542713567839196,0.03725078698845752,0.014572864321608037
53,500.0,0.5,55.0,10.0,0.4995112414467253,0.4995112414467253,0.0004887585532746819,0.0004887585532746819
54,500.0,0.5,50.0,10.0,0.4995112414467253,0.4995112414467253,0.0004887585532746819,0.0004887585532746819
55,500.0,0.5,88.0,10.0,0.4995112414467253,0.4995112414467253,0.0004887585532746819,0.0004887585532746819
56,500.0,0.5,94.0,10.0,0.4995112414467253,0.4995112414467253,0.0004887585532746819,0.0004887585532746819
57,500.0,0.5,68.0,10.0,0.4995112414467253,0.4995112414467253,0.0004887585532746819,0.0004887585532746819
58,500.0,0.5,45.0,10.0,0.4995112414467253,0.4995112414467253,0.0004887585532746819,0.0004887585532746819
59,500.0,0.5,87.0,10.0,0.4995112414467253,0.4995112414467253,0.0004887585532746819,0.0004887585532746819
60,500.0,0.5,77.0,10.0,0.4995112414467253,0.4995112414467253,0.0004887585532746819,0.0004887585532746819
61,500.0,0.5,10.0,10.0,0.4705274043433299,0.4995112414467253,0.029472595656670098,0.0004887585532746819
62,500.0,0.5,68.0,10.0,0.4995112414467253,0.4995112414467253,0.0004887585532746819,0.0004887585532746819
63,500.0,0.5,13.0,10.0,0.4705274043433299,0.4995112414467253,0.029472595656670098,0.0004887585532746819
64,500.0,0.5,30.0,10.0,0.49256689791873143,0.4995112414467253,0.007433102081268572,0.0004887585532746819
65,500.0,0.5,20.0,10.0,0.4780835881753313,0.4995112414467253,0.02191641182466869,0.0004887585532746819
66,500.0,0.5,74.0,10.0,0.4995112414467253,0.4995112414467253,0.0004887585532746819,0.0004887585532746819
67,500.0,0.5,44.0,10.0,0.4995112414467253,0.4995112414467253,0.0004887585532746819,0.0004887585532746819
68,500.0,0.5,69.0,10.0,0.4995112414467253,0.4995112414467253,0.0004887585532746819,0.0004887585532746819
69,500.0,0.5,44.0,10.0,0.4995112414467253,0.4995112414467253,0.0004887585532746819,0.0004887585532746819
70,500.0,0.5,42.0,10.0,0.49256689791873143,0.4995112414467253,0.007433102081268572,0.0004887585532746819
71,500.0,0.5,68.0,10.0,0.4995112414467253,0.4995112414467253,0.0004887585532746819,0.0004887585532746819
72,500.0,0.5,19.0,10.0,0.49256689791873143,0.4995112414467253,0.007433102081268572,0.0004887585532746819
73,500.0,0.5,7.0,10.0,0.40116959064327484,0.4995112414467253,0.09883040935672516,0.0004887585532746819
74,500.0,0.5,78.0,10.0,0.4995112414467253,0.4995112414467253,0.0004887585532746819,0.0004887585532746819
75,500.0,0.5,71.0,10.0,0.4995112414467253,0.4995112414467253,0.0004887585532746819,0.0004887585532746819
76,500.0,0.5,65.0,10.0,0.4995112414467253,0.4995112414467253,0.0004887585532746819,0.0004887585532746819
77,500.0,0.5,4.0,10.0,0.4547390841320554,0.4995112414467253,0.04526091586794462,0.0004887585532746819
78,500.0,0.5,31.0,10.0,0.4995112414467253,0.4995112414467253,0.0004887585532746819,0.0004887585532746819
79,500.0,0.5,72.0,10.0,0.4995112414467253,0.4995112414467253,0.0004887585532746819,0.0004887585532746819
80,500.0,0.5,54.0,10.0,0.4995112414467253,0.4995112414467253,0.0004887585532746819,0.0004887585532746819
81,500.0,0.5,80.0,10.0,0.4995112414467253,0.4995112414467253,0.0004887585532746819,0.0004887585532746819
82,500.0,0.5,56.0,10.0,0.4995112414467253,0.4995112414467253,0.0004887585532746819,0.0004887585532746819
83,500.0,0.5,37.0,10.0,0.49256689791873143,0.4995112414467253,0.007433102081268572,0.0004887585532746819
84,500.0,0.5,95.0,10.0,0.4995112414467253,0.4995112414467253,0.0004887585532746819,0.0004887585532746819
85,500.0,0.5,26.0,10.0,0.4995112414467253,0.4995112414467253,0.0004887585532746819,0.0004887585532746819
86,500.0,0.5,43.0,10.0,0.49256689791873143,0.4995112414467253,0.007433102081268572,0.0004887585532746819
87,500.0,0.5,61.0,10.0,0.4995112414467253,0.4995112414467253,0.0004887585532746819,0.0004887585532746819
88,500.0,0.5,32.0,10.0,0.49256689791873143,0.4995112414467253,0.007433102081268572,0.0004887585532746819
89,500.0,0.5,27.0,10.0,0.4995112414467253,0.4995112414467253,0.0004887585532746819,0.0004887585532746819
90,500.0,0.5,68.0,10.0,0.4995112414467253,0.4995112414467253,0.0004887585532746819,0.0004887585532746819
91,500.0,0.5,37.0,10.0,0.49256689791873143,0.4995112414467253,0.007433102081268572,0.0004887585532746819
92,500.0,0.5,64.0,10.0,0.4995112414467253,0.4995112414467253,0.0004887585532746819,0.0004887585532746819
93,500.0,0.5,66.0,10.0,0.4995112414467253,0.4995112414467253,0.0004887585532746819,0.0004887585532746819
94,500.0,0.5,98.0,10.0,0.4995112414467253,0.4995112414467253,0.0004887585532746819,0.0004887585532746819
95,500.0,0.5,87.0,10.0,0.4995112414467253,0.4995112414467253,0.0004887585532746819,0.0004887585532746819
96,500.0,0.5,4.0,10.0,0.4780835881753313,0.4995112414467253,0.02191641182466869,0.0004887585532746819
97,500.0,0.5,57.0,10.0,0.49256689791873143,0.4995112414467253,0.007433102081268572,0.0004887585532746819
98,500.0,0.5,7.0,10.0,0.48542713567839196,0.4995112414467253,0.014572864321608037,0.0004887585532746819
99,500.0,0.5,61.0,10.0,0.4995112414467253,0.4995112414467253,0.0004887585532746819,0.0004887585532746819
100,500.0,0.5,63.0,10.0,0.4995112414467253,0.4995112414467253,0.0004887585532746819,0.0004887585532746819
101,500.0,0.5,52.0,10.0,0.4995112414467253,0.4995112414467253,0.0004887585532746819,0.0004887585532746819
102,500.0,0.5,89.0,10.0,0.4995112414467253,0.4995112414467253,0.0004887585532746819,0.0004887585532746819
103,500.0,0.5,33.0,10.0,0.48542713567839196,0.4995112414467253,0.014572864321608037,0.0004887585532746819
104,500.0,0.5,98.0,10.0,0.4995112414467253,0.4995112414467253,0.0004887585532746819,0.0004887585532746819
105,500.0,0.5,42.0,10.0,0.49256689791873143,0.4995112414467253,0.007433102081268572,0.0004887585532746819
106,500.0,0.5,76.0,10.0,0.4995112414467253,0.4995112414467253,0.0004887585532746819,0.0004887585532746819
107,500.0,0.5,30.0,10.0,0.4995112414467253,0.4995112414467253,0.0004887585532746819,0.0004887585532746819
108,500.0,0.5,45.0,10.0,0.4995112414467253,0.4995112414467253,0.0004887585532746819,0.0004887585532746819
109,500.0,0.5,44.0,10.0,0.4995112414467253,0.4995112414467253,0.0004887585532746819,0.0004887585532746819
110,500.0,0.5,49.0,10.0,0.4995112414467253,0.4995112414467253,0.0004887585532746819,0.0004887585532746819
111,500.0,0.5,30.0,10.0,0.4995112414467253,0.4995112414467253,0.0004887585532746819,0.0004887585532746819
112,500.0,0.5,36.0,10.0,0.4995112414467253,0.4995112414467253,0.0004887585532746819,0.0004887585532746819
113,500.0,0.5,98.0,10.0,0.4995112414467253,0.4995112414467253,0.0004887585532746819,0.0004887585532746819
114,500.0,0.5,74.0,10.0,0.4995112414467253,0.4995112414467253,0.0004887585532746819,0.0004887585532746819
115,500.0,0.5,48.0,10.0,0.4995112414467253,0.4995112414467253,0.0004887585532746819,0.0004887585532746819
116,500.0,0.5,80.0,10.0,0.4995112414467253,0.4995112414467253,0.0004887585532746819,0.0004887585532746819
117,500.0,0.5,75.0,10.0,0.4995112414467253,0.4995112414467253,0.0004887585532746819,0.0004887585532746819
118,500.0,0.5,55.0,10.0,0.4995112414467253,0.4995112414467253,0.0004887585532746819,0.0004887585532746819
119,500.0,0.5,55.0,10.0,0.4995112414467253,0.4995112414467253,0.0004887585532746819,0.0004887585532746819
120,500.0,0.5,10.0,10.0,0.43798024149286496,0.4995112414467253,0.06201975850713504,0.0004887585532746819
121,500.0,0.5,70.0,10.0,0.4995112414467253,0.4995112414467253,0.0004887585532746819,0.0004887585532746819
122,500.0,0.5,95.0,10.0,0.4995112414467253,0.4995112414467253,0.0004887585532746819,0.0004887585532746819
123,500.0,0.5,9.0,10.0,0.4464864864864865,0.4995112414467253,0.05351351351351352,0.0004887585532746819
124,500.0,0.5,75.0,10.0,0.4995112414467253,0.4995112414467253,0.0004887585532746819,0.0004887585532746819
125,500.0,0.5,49.0,10.0,0.4995112414467253,0.4995112414467253,0.0004887585532746819,0.0004887585532746819
126,500.0,0.5,9.0,10.0,0.4547390841320554,0.4995112414467253,0.04526091586794462,0.0004887585532746819
127,500.0,0.5,86.0,10.0,0.4995112414467253,0.4995112414467253,0.0004887585532746819,0.0004887585532746819
128,500.0,0.5,64.0,10.0,0.4995112414467253,0.4995112414467253,0.0004887585532746819,0.0004887585532746819
129,500.0,0.5,76.0,10.0,0.4995112414467253,0.4995112414467253,0.0004887585532746819,0.0004887585532746819
130,500.0,0.5,74.0,10.0,0.4995112414467253,0.4995112414467253,0.0004887585532746819,0.0004887585532746819
131,500.0,0.5,90.0,10.0,0.4995112414467253,0.4995112414467253,0.0004887585532746819,0.0004887585532746819
132,500.0,0.5,91.0,10.0,0.4995112414467253,0.4995112414467253,0.0004887585532746819,0.0004887585532746819
133,500.0,0.5,92.0,10.0,0.4995112414467253,0.4995112414467253,0.0004887585532746819,0.0004887585532746819
134,500.0,0.5,74.0,10.0,0.4995112414467253,0.4995112414467253,0.0004887585532746819,0.0004887585532746819
135,500.0,0.5,6.0,10.0,0.4705274043433299,0.4995112414467253,0.029472595656670098,0.0004887585532746819
136,500.0,0.5,66.0,10.0,0.4995112414467253,0.4995112414467253,0.0004887585532746819,0.0004887585532746819
137,500.0,0.5,25.0,10.0,0.49256689791873143,0.4995112414467253,0.007433102081268572,0.0004887585532746819
138,500.0,0.5,72.0,10.0,0.4995112414467253,0.4995112414467253,0.0004887585532746819,0.0004887585532746819
139,500.0,0.5,98.0,10.0,0.4995112414467253,0.4995112414467253,0.0004887585532746819,0.0004887585532746819
140,500.0,0.5,78.0,10.0,0.4995112414467253,0.4995112414467253,0.0004887585532746819,0.0004887585532746819
141,500.0,0.5,94.0,10.0,0.4995112414467253,0.4995112414467253,0.0004887585532746819,0.0004887585532746819
142,500.0,0.5,36.0,10.0,0.49256689791873143,0.4995112414467253,0.007433102081268572,0.0004887585532746819
143,500.0,0.5,66.0,10.0,0.4995112414467253,0.4995112414467253,0.0004887585532746819,0.0004887585532746819
144,500.0,0.5,42.0,10.0,0.4995112414467253,0.4995112414467253,0.0004887585532746819,0.0004887585532746819
145,500.0,0.5,49.0,10.0,0.4995112414467253,0.4995112414467253,0.0004887585532746819,0.0004887585532746819
146,500.0,0.5,57.0,10.0,0.4995112414467253,0.4995112414467253,0.0004887585532746819,0.0004887585532746819
147,500.0,0.5,37.0,10.0,0.4995112414467253,0.4995112414467253,0.0004887585532746819,0.0004887585532746819
148,500.0,0.5,88.0,10.0,0.4995112414467253,0.4995112414467253,0.0004887585532746819,0.0004887585532746819
149,500.0,0.5,41.0,10.0,0.4995112414467253,0.4995112414467253,0.0004887585532746819,0.0004887585532746819
150,500.0,0.5,76.0,10.0,0.4995112414467253,0.4995112414467253,0.0004887585532746819,0.0004887585532746819
151,500.0,0.5,86.0,10.0,0.4995112414467253,0.4995112414467253,0.0004887585532746819,0.0004887585532746819
152,500.0,0.5,7.0,10.0,0.4547390841320554,0.49256689791873143,0.04526091586794462,0.007433102081268572
153,500.0,0.5,81.0,10.0,0.4995112414467253,0.4995112414467253,0.0004887585532746819,0.0004887585532746819
154,500.0,0.5,47.0,10.0,0.4995112414467253,0.4995112414467253,0.0004887585532746819,0.0004887585532746819
155,500.0,0.5,46.0,10.0,0.4995112414467253,0.4995112414467253,0.0004887585532746819,0.0004887585532746819
156,500.0,0.5,56.0,10.0,0.4995112414467253,0.4995112414467253,0.0004887585532746819,0.0004887585532746819
157,500.0,0.5,27.0,10.0,0.48542713567839196,0.4995112414467253,0.014572864321608037,0.0004887585532746819
158,500.0,0.5,35.0,10.0,0.4995112414467253,0.4995112414467253,0.0004887585532746819,0.0004887585532746819
159,500.0,0.5,64.0,10.0,0.49256689791873143,0.4995112414467253,0.007433102081268572,0.0004887585532746819
160,500.0,0.5,23.0,10.0,0.49256689791873143,0.4995112414467253,0.007433102081268572,0.0004887585532746819
161,500.0,0.5,10.0,10.0,0.4705274043433299,0.4995112414467253,0.029472595656670098,0.0004887585532746819
162,500.0,0.5,73.0,10.0,0.4995112414467253,0.4995112414467253,0.0004887585532746819,0.0004887585532746819
163,500.0,0.5,18.0,10.0,0.4780835881753313,0.4995112414467253,0.02191641182466869,0.0004887585532746819
164,500.0,0.5,22.0,10.0,0.48542713567839196,0.4995112414467253,0.014572864321608037,0.0004887585532746819
165,500.0,0.5,65.0,10.0,0.4995112414467253,0.4995112414467253,0.0004887585532746819,0.0004887585532746819
166,500.0,0.5,50.0,10.0,0.4995112414467253,0.4995112414467253,0.0004887585532746819,0.0004887585532746819
167,500.0,0.5,36.0,10.0,0.4995112414467253,0.4995112414467253,0.0004887585532746819,0.0004887585532746819
168,500.0,0.5,20.0,10.0,0.48542713567839196,0.4995112414467253,0.014572864321608037,0.0004887585532746819
169,500.0,0.5,90.0,10.0,0.4995112414467253,0.4995112414467253,0.0004887585532746819,0.0004887585532746819
170,500.0,0.5,72.0,10.0,0.4995112414467253,0.4995112414467253,0.0004887585532746819,0.0004887585532746819
171,500.0,0.5,8.0,10.0,0.42920847268673357,0.4995112414467253,0.07079152731326643,0.0004887585532746819
172,500.0,0.5,12.0,10.0,0.4464864864864865,0.4995112414467253,0.05351351351351352,0.0004887585532746819
173,500.0,0.5,6.0,10.0,0.43798024149286496,0.4995112414467253,0.06201975850713504,0.0004887585532746819
174,500.0,0.5,7.0,10.0,0.4705274043433299,0.4995112414467253,0.029472595656670098,0.0004887585532746819
175,500.0,0.5,80.0,10.0,0.4995112414467253,0.4995112414467253,0.0004887585532746819,0.0004887585532746819
176,500.0,0.5,83.0,10.0,0.4995112414467253,0.4995112414467253,0.0004887585532746819,0.0004887585532746819
177,500.0,0.5,61.0,10.0,0.4995112414467253,0.4995112414467253,0.0004887585532746819,0.0004887585532746819
178,500.0,0.5,11.0,10.0,0.4464864864864865,0.4995112414467253,0.05351351351351352,0.0004887585532746819
179,500.0,0.5,12.0,10.0,0.4627492130115425,0.4995112414467253,0.03725078698845752,0.0004887585532746819
180,500.0,0.5,19.0,10.0,0.4627492130115425,0.4995112414467253,0.03725078698845752,0.0004887585532746819
181,500.0,0.5,94.0,10.0,0.4995112414467253,0.4995112414467253,0.0004887585532746819,0.0004887585532746819
182,500.0,0.5,70.0,10.0,0.4995112414467253,0.4995112414467253,0.0004887585532746819,0.0004887585532746819
183,500.0,0.5,98.0,10.0,0.4995112414467253,0.4995112414467253,0.0004887585532746819,0.0004887585532746819
184,500.0,0.5,69.0,10.0,0.4995112414467253,0.4995112414467253,0.0004887585532746819,0.0004887585532746819
185,500.0,0.5,74.0,10.0,0.4995112414467253,0.4995112414467253,0.0004887585532746819,0.0004887585532746819
186,500.0,0.5,11.0,10.0,0.4780835881753313,0.4995112414467253,0.02191641182466869,0.0004887585532746819
187,500.0,0.5,38.0,10.0,0.4995112414467253,0.4995112414467253,0.0004887585532746819,0.0004887585532746819
188,500.0,0.5,34.0,10.0,0.48542713567839196,0.4995112414467253,0.014572864321608037,0.0004887585532746819
189,500.0,0.5,50.0,10.0,0.4995112414467253,0.4995112414467253,0.0004887585532746819,0.0004887585532746819
190,500.0,0.5,42.0,10.0,0.4995112414467253,0.4995112414467253,0.0004887585532746819,0.0004887585532746819
191,500.0,0.5,21.0,10.0,0.49256689791873143,0.4995112414467253,0.007433102081268572,0.0004887585532746819
192,500.0,0.5,11.0,10.0,0.4705274043433299,0.4995112414467253,0.029472595656670098,0.0004887585532746819
193,500.0,0.5,9.0,10.0,0.4547390841320554,0.4995112414467253,0.04526091586794462,0.0004887585532746819
194,500.0,0.5,81.0,10.0,0.4995112414467253,0.4995112414467253,0.0004887585532746819,0.0004887585532746819
195,500.0,0.5,32.0,10.0,0.49256689791873143,0.4995112414467253,0.007433102081268572,0.0004887585532746819
196,500.0,0.5,67.0,10.0,0.4995112414467253,0.4995112414467253,0.0004887585532746819,0.0004887585532746819
197,500.0,0.5,40.0,10.0,0.4995112414467253,0.4995112414467253,0.0004887585532746819,0.0004887585532746819
198,500.0,0.5,62.0,10.0,0.4995112414467253,0.4995112414467253,0.0004887585532746819,0.0004887585532746819
199,500.0,0.5,66.0,10.0,0.4995112414467253,0.4995112414467253,0.0004887585532746819,0.0004887585532746819
200,500.0,0.5,81.0,10.0,0.4995112414467253,0.4995112414467253,0.0004887585532746819,0.0004887585532746819
201,500.0,0.5,23.0,10.0,0.49256689791873143,0.4995112414467253,0.007433102081268572,0.0004887585532746819
202,500.0,0.5,73.0,10.0,0.4995112414467253,0.4995112414467253,0.0004887585532746819,0.0004887585532746819
203,500.0,0.5,72.0,10.0,0.4995112414467253,0.4995112414467253,0.0004887585532746819,0.0004887585532746819
204,500.0,0.5,35.0,10.0,0.49256689791873143,0.4995112414467253,0.007433102081268572,0.0004887585532746819
205,500.0,0.5,58.0,10.0,0.4995112414467253,0.4995112414467253,0.0004887585532746819,0.0004887585532746819
206,500.0,0.5,62.0,10.0,0.4995112414467253,0.4995112414467253,0.0004887585532746819,0.0004887585532746819
207,500.0,0.5,87.0,10.0,0.4995112414467253,0.4995112414467253,0.0004887585532746819,0.0004887585532746819
208,500.0,0.5,23.0,10.0,0.49256689791873143,0.4995112414467253,0.007433102081268572,0.0004887585532746819
209,500.0,0.5,89.0,10.0,0.4995112414467253,0.4995112414467253,0.0004887585532746819,0.0004887585532746819
