,total_observations,kappa_star,size,mean_comp,KM1,KM2,KM1_error,KM2_error
0,500.0,0.4,2.0,10.0,0.34777070063694265,0.3808948004836759,0.05222929936305737,0.01910519951632411
1,500.0,0.4,3.0,10.0,0.31090174966352624,0.3591989987484355,0.08909825033647378,0.040801001251564495
2,500.0,0.4,4.0,10.0,0.37023370233702335,0.3912009512485137,0.02976629766297667,0.008799048751486349
3,500.0,0.4,5.0,10.0,0.3359273670557717,0.37023370233702335,0.06407263294422832,0.02976629766297667
4,500.0,0.4,6.0,10.0,0.3591989987484355,0.40116959064327484,0.040801001251564495,0.0011695906432748204
5,500.0,0.4,7.0,10.0,0.3591989987484355,0.40116959064327484,0.040801001251564495,0.0011695906432748204
6,500.0,0.4,8.0,10.0,0.3808948004836759,0.40116959064327484,0.01910519951632411,0.0011695906432748204
7,500.0,0.4,9.0,10.0,0.34777070063694265,0.40116959064327484,0.05222929936305737,0.0011695906432748204
8,500.0,0.4,10.0,10.0,0.3591989987484355,0.40116959064327484,0.040801001251564495,0.0011695906432748204
9,500.0,0.4,11.0,10.0,0.3236459709379128,0.40116959064327484,0.07635402906208721,0.0011695906432748204
10,500.0,0.4,12.0,10.0,0.3808948004836759,0.40116959064327484,0.01910519951632411,0.0011695906432748204
11,500.0,0.4,13.0,10.0,0.3912009512485137,0.40116959064327484,0.008799048751486349,0.0011695906432748204
12,500.0,0.4,14.0,10.0,0.3591989987484355,0.40116959064327484,0.040801001251564495,0.0011695906432748204
13,500.0,0.4,15.0,10.0,0.3808948004836759,0.40116959064327484,0.01910519951632411,0.0011695906432748204
14,500.0,0.4,16.0,10.0,0.3591989987484355,0.40116959064327484,0.040801001251564495,0.0011695906432748204
15,500.0,0.4,17.0,10.0,0.3591989987484355,0.40116959064327484,0.040801001251564495,0.0011695906432748204
16,500.0,0.4,18.0,10.0,0.3808948004836759,0.40116959064327484,0.01910519951632411,0.0011695906432748204
17,500.0,0.4,19.0,10.0,0.3912009512485137,0.40116959064327484,0.008799048751486349,0.0011695906432748204
18,500.0,0.4,20.0,10.0,0.3808948004836759,0.40116959064327484,0.01910519951632411,0.0011695906432748204
19,500.0,0.4,21.0,10.0,0.37023370233702335,0.40116959064327484,0.02976629766297667,0.0011695906432748204
20,500.0,0.4,22.0,10.0,0.3808948004836759,0.40116959064327484,0.01910519951632411,0.0011695906432748204
21,500.0,0.4,23.0,10.0,0.3912009512485137,0.40116959064327484,0.008799048751486349,0.0011695906432748204
22,500.0,0.4,24.0,10.0,0.3808948004836759,0.40116959064327484,0.01910519951632411,0.0011695906432748204
23,500.0,0.4,25.0,10.0,0.3912009512485137,0.40116959064327484,0.008799048751486349,0.0011695906432748204
24,500.0,0.4,26.0,10.0,0.3808948004836759,0.40116959064327484,0.01910519951632411,0.0011695906432748204
25,500.0,0.4,27.0,10.0,0.37023370233702335,0.40116959064327484,0.02976629766297667,0.0011695906432748204
26,500.0,0.4,28.0,10.0,0.3912009512485137,0.40116959064327484,0.008799048751486349,0.0011695906432748204
27,500.0,0.4,29.0,10.0,0.3912009512485137,0.40116959064327484,0.008799048751486349,0.0011695906432748204
28,500.0,0.4,30.0,10.0,0.3912009512485137,0.40116959064327484,0.008799048751486349,0.0011695906432748204
29,500.0,0.4,31.0,10.0,0.3912009512485137,0.40116959064327484,0.008799048751486349,0.0011695906432748204
30,500.0,0.4,32.0,10.0,0.3912009512485137,0.40116959064327484,0.008799048751486349,0.0011695906432748204
31,500.0,0.4,33.0,10.0,0.3912009512485137,0.40116959064327484,0.008799048751486349,0.0011695906432748204
32,500.0,0.4,34.0,10.0,0.3808948004836759,0.40116959064327484,0.01910519951632411,0.0011695906432748204
33,500.0,0.4,35.0,10.0,0.37023370233702335,0.40116959064327484,0.02976629766297667,0.0011695906432748204
34,500.0,0.4,36.0,10.0,0.3808948004836759,0.40116959064327484,0.01910519951632411,0.0011695906432748204
