total_observations,kappa_star,size,mean_comp,KM1,KM2,KM1_error,KM2_error
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20.0,0.5138717721227899,27.782608695652176,48.945234481240426,0.2827368801914735,0.28347324413268504,0.24617312021323154,0.2425606741519111
22.0,0.5040319806322411,23.076923076923077,50.382116493234676,0.16244344273047245,0.17687538709752493,0.346474304268414,0.3312581356541007
24.0,0.4767640095009802,24.296296296296298,50.86895713553048,0.2669721728229434,0.27539026705788877,0.22131021688266858,0.2116569220237105
26.0,0.5170563189438687,23.183673469387756,49.91016122636262,0.3628049617398109,0.3586816467361464,0.16546677565269477,0.16762677522411917
28.0,0.4397413795870241,23.404255319148938,50.760274647713665,0.2948005504593089,0.29275149034554354,0.15910018445727786,0.15819679368654604
30.0,0.4700798456001512,30.892857142857142,49.784459031289636,0.22248495864595655,0.22088595429515712,0.25256512079691207,0.25331224224299753
32.0,0.42353897032622456,25.91111111111111,50.69653634451652,0.33953805038948376,0.3364116231568704,0.09725384968161406,0.09634432644589942
34.0,0.5101748349540947,25.38888888888889,49.40335373701112,0.26951277940399965,0.264991306787838,0.2512099716890691,0.25410086531845266
36.0,0.44936761113974055,22.333333333333332,52.10869505270832,0.3358840652291632,0.3424437453341738,0.12502098817430699,0.11576702113092657
38.0,0.5063090041385403,28.08695652173913,49.76173049037153,0.3201452984577434,0.3216125700276589,0.19489148941441264,0.1907516498892284
40.0,0.5361682086486823,27.405405405405407,48.86244910765174,0.33072387465807573,0.3297444598339828,0.2186933745903558,0.21791335357625624
42.0,0.42182165397063975,26.08695652173913,49.371665968715604,0.3201821365048344,0.31609487878385306,0.1107364971275474,0.11123695208660953
44.0,0.42956423504820224,23.604166666666668,49.002019430744234,0.33646752300152216,0.329654791115175,0.09930904701225528,0.10365653091530587
46.0,0.6107344015420355,23.65909090909091,49.85362123573232,0.312505598558013,0.30215214570323634,0.3068176087790211,0.312890271091414
48.0,0.5159704112369985,23.023809523809526,51.416190352985474,0.31764546602082955,0.3191568984436663,0.20393991697340152,0.2014178914756534
50.0,0.514708044074863,29.125,50.030746571740835,0.31275946017277745,0.31296221041651473,0.20996552038427801,0.20900844892466552
52.0,0.43659889764262216,24.42222222222222,49.07041413113036,0.3714730609443485,0.3684091153847144,0.07307123174496633,0.07398699740152889
54.0,0.481995183546795,25.658536585365855,48.10623546984494,0.37924325099569006,0.3915477341653319,0.1127433472312345,0.0985772815872319
56.0,0.568997849301467,26.48148148148148,51.089820149176234,0.42709100085005036,0.4233693754907646,0.15206756720602524,0.15221482043914264
58.0,0.5341569312323724,27.85,52.66729423828597,0.33103637422848164,0.3309523017207533,0.21030438760533415,0.20931255896941278
60.0,0.5313374560586027,22.30952380952381,47.73168012479121,0.4038670224740785,0.4090079897995575,0.13565656734924436,0.12711822320446087
62.0,0.4498822230919029,27.727272727272727,52.48882951364121,0.3165442558897764,0.32680553720439703,0.1373228708783534,0.1264801838438903
64.0,0.4594971289523079,28.725,48.706649627472856,0.40132289010306854,0.3969075322809471,0.06470821987753865,0.06824662185825067
66.0,0.4861943753403298,22.547619047619047,46.619645362947516,0.3603965799848271,0.3512054213587364,0.1354979301610395,0.14077834490046737
68.0,0.44774683717379965,28.38888888888889,50.91792212147269,0.4205569308435343,0.42038594900432247,0.03392140476761866,0.03308199312798209
70.0,0.5183011322633144,26.1875,51.08553004381929,0.4092292987593564,0.38757171298195764,0.11602673772367382,0.13651804314006233
72.0,0.44556028257445324,22.275,51.0624193533419,0.3780346629349759,0.377616538528272,0.0794955076021682,0.0779094505080134
74.0,0.516626964757822,22.5609756097561,49.933663261896136,0.3915260096788918,0.3801272461128592,0.1306513829234355,0.14112401701357916
76.0,0.501473302479328,29.288888888888888,50.61970014275326,0.42414106878450786,0.4188657372898694,0.08652701497629636,0.08962879912332676
78.0,0.48636742975770153,24.217391304347824,52.72845394620936,0.4053753326170083,0.4044436409758952,0.08870061394904788,0.08814803354714117
80.0,0.6070951817262239,20.46153846153846,48.951276159592005,0.43402073562301724,0.42788451532307864,0.18091336155147272,0.18345097445971467
82.0,0.44519750917319656,24.136363636363637,49.897384353853454,0.31803884128213933,0.31346148452000033,0.13024845347522448,0.13445385698213932
84.0,0.47643493908597917,22.854166666666668,49.613914999491236,0.41468602707240354,0.4111396920369352,0.06867464475474434,0.07078509836422815
86.0,0.5106180472655478,25.63888888888889,49.64391948356872,0.36058154965366185,0.3686082110076332,0.152486629146308,0.14348873996895423
88.0,0.4967653015522971,24.404255319148938,48.84415759546258,0.39988277338735945,0.39929966461597227,0.10184662387271386,0.10134685355765775
90.0,0.4519889078590806,30.81578947368421,51.314323339583076,0.3789923687334663,0.37860412801424526,0.07886096589627739,0.07829368061733419
92.0,0.4507818238701717,24.130434782608695,49.70792886244312,0.39662085412887543,0.3903722544434623,0.05987589136899583,0.06476278729202312
94.0,0.5135957962340311,27.609756097560975,49.42170743198272,0.41969875990468614,0.42620864905987516,0.09992461477672267,0.09217260934051993
96.0,0.47433036853042704,24.955555555555556,50.83553581592057,0.39896037339887536,0.3945059881497307,0.082569590684238,0.08603376084758713
98.0,0.5222136688758593,25.365853658536587,50.09256124295999,0.43365951310537604,0.43280922812262174,0.09495906312779209,0.09439047547221707
100.0,0.4973308093154758,25.133333333333333,49.66627517607149,0.4150078982693767,0.4245174208983976,0.08928163877347603,0.07848133156501856
102.0,0.5175301246429841,26.872340425531913,49.79387245922474,0.462996149227861,0.45126459764994525,0.06094290401208402,0.07064995106281209
104.0,0.46487655847193277,24.208333333333332,49.13960085433039,0.37811149908589575,0.37542635163912963,0.09061311322053728,0.09245055751090063
106.0,0.5083352322583545,24.511627906976745,51.01205351219659,0.41585801594918104,0.40972714408899796,0.09698599732612447,0.10133316759366051
108.0,0.461830878721552,25.642857142857142,51.51713366137693,0.40942159835892006,0.39031672001492174,0.05754059692024467,0.07490965155126096
110.0,0.5315716490675579,26.90566037735849,50.86469680411295,0.37608170206013986,0.37670749310064106,0.15930975665016095,0.15836198394257736
112.0,0.41835032624153334,25.333333333333332,48.90779862113112,0.3862367203946067,0.3827691754219574,0.03418034766779241,0.03780556563441912
114.0,0.40208179224493584,28.0,50.2930182190144,0.3684359123023711,0.3640149126236672,0.03634248904936903,0.040190201086877576
