,total_observations,kappa_star,size,mean_comp,KM1,KM2,KM1_error,KM2_error
148,500.0,0.5755020080321286,100.0,10.0,0.5701091519731318,0.575103734439834,0.005392856058996753,0.0003982735922946068
149,500.0,0.578714859437751,100.0,10.0,0.5799835931091059,0.5799835931091059,0.001268733671354827,0.001268733671354827
150,500.0,0.5819277108433735,100.0,10.0,0.5799835931091059,0.5847526358475263,0.0019441177342676141,0.0028249250041528784
151,500.0,0.585140562248996,100.0,10.0,0.5847526358475263,0.5847526358475263,0.0003879264014696737,0.0003879264014696737
152,500.0,0.5883534136546185,100.0,10.0,0.5894145950280674,0.5894145950280674,0.001061181373448905,0.001061181373448905
153,500.0,0.591566265060241,100.0,10.0,0.5894145950280674,0.5894145950280674,0.002151670032173647,0.002151670032173647
154,500.0,0.5947791164658635,100.0,10.0,0.5939730372720063,0.5939730372720063,0.0008060791938571121,0.0008060791938571121
155,500.0,0.597991967871486,100.0,10.0,0.5984313725490196,0.5984313725490196,0.0004394046775335614,0.0004394046775335614
156,500.0,0.6012048192771084,100.0,10.0,0.6027928626842514,0.6027928626842514,0.001588043407142914,0.001588043407142914
157,500.0,0.6044176706827309,100.0,10.0,0.6070606293169608,0.6070606293169608,0.0026429586342299194,0.0026429586342299194
158,500.0,0.6076305220883534,100.0,10.0,0.6070606293169608,0.6070606293169608,0.0005698927713926327,0.0005698927713926327
159,500.0,0.6108433734939759,100.0,10.0,0.6112376613515565,0.6112376613515565,0.0003942878575806663,0.0003942878575806663
160,500.0,0.6140562248995984,100.0,10.0,0.6153268219383922,0.6153268219383922,0.0012705970387937304,0.0012705970387937304
161,500.0,0.6172690763052209,100.0,10.0,0.6193308550185873,0.6193308550185873,0.0020617787133664356,0.0020617787133664356
162,500.0,0.6204819277108434,100.0,10.0,0.623252391464312,0.623252391464312,0.002770463753468566,0.002770463753468566
163,500.0,0.6236947791164659,100.0,10.0,0.623252391464312,0.623252391464312,0.000442387652153875,0.000442387652153875
164,500.0,0.6269076305220883,100.0,10.0,0.6270939548434086,0.6270939548434086,0.00018632432132026366,0.00018632432132026366
165,500.0,0.6301204819277109,100.0,10.0,0.6308579668348955,0.6308579668348955,0.0007374849071846157,0.0007374849071846157
166,500.0,0.6333333333333333,100.0,10.0,0.6345467523197716,0.6345467523197716,0.0012134189864383416,0.0012134189864383416
167,500.0,0.6365461847389559,100.0,10.0,0.6381625441696113,0.6381625441696113,0.0016163594306554119,0.0016163594306554119
168,500.0,0.6397590361445783,100.0,10.0,0.6381625441696113,0.6381625441696113,0.0015964919749670292,0.0015964919749670292
169,500.0,0.6429718875502008,100.0,10.0,0.6417074877536739,0.6417074877536739,0.0012643997965269271,0.0012643997965269271
170,500.0,0.6461847389558233,100.0,10.0,0.6451836451836452,0.6485929993136582,0.0010010937721780522,0.0024082603578349238
171,500.0,0.6493975903614457,100.0,10.0,0.6485929993136582,0.6519374575118967,0.0008045910477875173,0.0025398671504509585
172,500.0,0.6526104417670683,100.0,10.0,0.6552188552188553,0.6552188552188553,0.002608413451786973,0.002608413451786973
173,500.0,0.6558232931726907,100.0,10.0,0.6552188552188553,0.6552188552188553,0.0006044379538354683,0.0006044379538354683
174,500.0,0.6590361445783133,100.0,10.0,0.6584389593062041,0.6584389593062041,0.0005971852721091686,0.0005971852721091686
175,500.0,0.6622489959839357,100.0,10.0,0.6615994712491738,0.664702030124427,0.0006495247347618749,0.0024530341404912503
176,500.0,0.6654618473895583,100.0,10.0,0.6677482154445166,0.6677482154445166,0.0022863680549582988,0.0022863680549582988
177,500.0,0.6686746987951807,100.0,10.0,0.6707395498392283,0.6707395498392283,0.002064851044047633,0.002064851044047633
178,500.0,0.6718875502008033,100.0,10.0,0.6707395498392283,0.6707395498392283,0.001148000361574919,0.001148000361574919
179,500.0,0.6751004016064257,100.0,10.0,0.6736775015933716,0.6765634870499052,0.001422900013054118,0.001463085443479506
180,500.0,0.6783132530120481,100.0,10.0,0.6793988728866625,0.6793988728866625,0.0010856198746143075,0.0010856198746143075
181,500.0,0.6815261044176707,100.0,10.0,0.6821849782743638,0.684923076923077,0.0006588738566930541,0.0033969725054062705
182,500.0,0.6847389558232931,100.0,10.0,0.687614399023795,0.687614399023795,0.002875443200501815,0.002875443200501815
183,500.0,0.6879518072289157,100.0,10.0,0.687614399023795,0.687614399023795,0.0003374082051207372,0.0003374082051207372
184,500.0,0.6911646586345381,100.0,10.0,0.690260133091349,0.6928614277144571,0.0009045255431890942,0.0016967690799190027
185,500.0,0.6943775100401607,100.0,10.0,0.6954193932183225,0.6954193932183225,0.0010418831781617843,0.0010418831781617843
186,500.0,0.6975903614457831,100.0,10.0,0.6979351032448378,0.70040959625512,0.00034474179905463753,0.002819234809336879
187,500.0,0.7008032128514057,100.0,10.0,0.7028438769587928,0.7028438769587928,0.0020406641073871246,0.0020406641073871246
188,500.0,0.7040160642570281,100.0,10.0,0.7075956596230726,0.7075956596230726,0.0035795953660444635,0.0035795953660444635
189,500.0,0.7072289156626506,100.0,10.0,0.7075956596230726,0.7075956596230726,0.0003667439604220224,0.0003667439604220224
190,500.0,0.7104417670682731,100.0,10.0,0.7121978639685217,0.7121978639685217,0.0017560969002485827,0.0017560969002485827
191,500.0,0.7136546184738956,100.0,10.0,0.7166574432761483,0.7166574432761483,0.0030028248022527793,0.0030028248022527793
192,500.0,0.7168674698795181,100.0,10.0,0.7188358045030203,0.7188358045030203,0.0019683346235022103,0.0019683346235022103
193,500.0,0.7200803212851405,100.0,10.0,0.7230935640886966,0.7230935640886966,0.003013242803556082,0.003013242803556082
194,500.0,0.7232931726907631,100.0,10.0,0.7230935640886966,0.7230935640886966,0.00019960860206647002,0.00019960860206647002
195,500.0,0.7265060240963855,100.0,10.0,0.727224294086308,0.727224294086308,0.0007182699899224154,0.0007182699899224154
196,500.0,0.7297188755020081,100.0,10.0,0.7312335958005249,0.7312335958005249,0.0015147202985168473,0.0015147202985168473
197,500.0,0.7329317269076305,100.0,10.0,0.7351267459906881,0.7351267459906881,0.0021950190830575256,0.0021950190830575256
198,500.0,0.736144578313253,100.0,10.0,0.7389087200407956,0.7389087200407956,0.0027641417275425795,0.0027641417275425795
199,500.0,0.7393574297188755,100.0,10.0,0.7407594936708861,0.7407594936708861,0.0014020639520105904,0.0014020639520105904
